ma,ten,dc,so,phong,loai_hinh,loai_trg
79000851,THCS - THPT Sao Việt,650q/15 Nguyễn Hữu Thọ,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000852,TH THCS và THPT Nam Mỹ,,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000853,Trung học thực hành Sài Gòn,220 Tần Bình Trọng,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000854,THCS - THPT Lạc Hồng,2276/5 Quốc lộ 1A,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000855,THCS và THPT Quang Trung Nguyễn Huệ,223 Nguyễn Tri Phương,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000856,THCS và THPT Khai Minh,410 Tân Kỳ Tân Quý,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000857,THCS  VÀ THPT NGỌC VIỄN ĐÔNG,,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000858,Tiểu học THCS và THPT Tân Phú,519 Kênh Tân Hóa,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000859,THCS - THPT Bác Ái,187 Gò Cẩm Đệm P.10 Q.Tân Bình TP.HCM,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000860,THCS và THPT Sương Nguyệt Anh,249 Hòa Hảo,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000861,THCS và THPT Diên Hồng,11 Thành Thái  phường 14 quận 10,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000862,THPT Minh Đức,277 Tân Quý,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000863,THPT Thành Nhân,69/12 Nguyễn Cửu Đàm P. Tân Sơn Nhì Q. Tân Phú,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000865,THCS và THPT Hoa Lư,201 Phan Văn Hớn,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000866,THCS và THPT Đào Duy Anh,355 Nguyễn Văn Luông,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000868,THCS và THPT ĐINH TIÊN HOÀNG,85 Chế Lan Viên,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000869,THPT Lương Thế Vinh,131 Cô Bắc,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000871,THPT Năng Khiếu TDTT,43 Điện Biên Phủ,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Năng khiếu thể dục thể thao
79000872,THCS và THPT Việt Anh,269A Nguyễn Trọng Tuyển P10 Phú Nhuận,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000873,THCS và THPT Hoa Sen,26 Phan Chu Trinh,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000874,Tiểu học THCS và THPT Vinschool,Tòa CC3 khu đô thị Vinhomes Central Park 720A Điện Biên Phủ,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000875,THPT Phạm Phú Thứ,425 - 435 Gia Phú,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000876,THCS và THPT Thạnh An,,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79000877,TH THCS và THPT Trí Tuệ Việt,,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000888,Tiểu học THCS và THPT Lê Thánh Tông,,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000C01,PTDL Hermann Gmeiner,697 Quang Trung,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000C03,Tiểu học THCS và THPT Việt Úc,594 Ba Tháng Hai - phường 14 - Quận 10 - Tp. HCM,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000C04,THCS Song ngữ Quốc tế Horizon,6-6A-8 dường số 44,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000C05,Tiểu học THCS và THPT Quốc tế Canada,Số 86 Đường 23,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000C06,TiH - THCS - THPT QUỐC TẾ BẮC MỸ,1 Đường 5A Kdc Trung Sơn,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000C07,Tiểu học THCS và THPT Thái Bình Dương,125 Bạch Đằng,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000C09,TH THCS VÀ THPT Nguyễn Tri Phương,61a Đường 30,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000C10,Tiểu học THCS và THPT Anh Quốc,,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000C11,Tiểu học THCS và THPT Emasi Nam Long,,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000C12,Tiểu học THCS và THPT Mỹ Việt,95 Phan Văn Hớn-Phường Tân Thới Nhất-Quận 12 - Thành Phố Hồ Chí Minh,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000C13,Tiểu học THCS và THPT Emasi Vạn Phúc,,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000C15,Tiểu học THCS và THPT Hoàng Gia,,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000C19,Tiểu học THCS và THPT Albert Einstein,Khu Dân Cư 13c đại lộ Nguyễn Văn Linh xã Phong Phú huyện Bình Chánh TP Hồ Chí Minh,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79000F01,THPT chuyên Lê Hồng Phong,235 Nguyễn Văn Cừ,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường chuyên
79000F02,THPT chuyên Trần Đại Nghĩa,53 Nguyễn Du,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường chuyên
79000F03,THPT Chuyên Năng khiếu TDTT Nguyễn Thị Định,215 Đường Hoàng Ngân,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
7900QT01,Tiểu học THCS và THPT Quốc tế Khai Sáng,,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
7900QT02,Trường Quốc tế Việt Nam - Phần Lan,,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
7900QT2,Trường Quốc tế Việt Nam - Phần Lan,,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79760419,Tiểu học THCS  và THPT Quốc tế Á Châu,Số 41/3-41/4 Bis Trần Nhật Duật,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79767601,Tiểu học THCS và THPT Hòa Bình,69 Trịnh Đình Thảo,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79770601,TiH - THCS - THPT Tây Úc,157 Lý Chính Thắng,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79770702,Tiểu học THCS và THPT Úc Châu,,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79774507,THPT Trần Hữu Trang,276 Trần Hưng Đạo B,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
79777418,Tiểu học THCS và THPT Ngôi Sao Nhỏ,10 Đường số 22 Phường Bình Trị Đông B Quận Bình Tân,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Tư thục,Trường phổ thông
79786701,THPT Long Thới,280 Nguyễn Văn Tạo Ấp 2,Sở Giáo dục và Đào tạo Hồ Chí Minh,,Công lập,Trường phổ thông
